Mould Code,Mould Name,ItemNo,Description
,,FGBBT0000012,BABY BATH TUB ANGEL- NEW BLUE
.,,,
BTTBNWLG0000,BABY BATH TUB NEW LARGE,FGBBTNEWL002,BABY BATH TUB NEW LARGE -PINK
,,FGBBTNEWL003,BABY BATH TUB NEW LARGE - BLUE
,,FGBBTNEWL009,BABY BATH TUB NEW LARGE - NEW BLUE
,,FGBBTNEWL004,BABY BATH TUB NEW LARGE-WHITE NEW
.,,,
BTTBPRNS0000,BABY BATH TUB PRINCESS,FGBBT0000001,BABY BATH TUB PRINCESS-PINK
,,FGBBT0000002,BABY BATH TUB PRINCESS-BLUE
,,FGBBTANG0003,BABY BATH TUB PRINCESS-WHITE IVORY
,,FGBBTPRI0001,BABY BATH TUB PRINCESS- NEW BLUE
.,,,
CAN20LCTXSQ0,CAN-20LT CALTEX SQ,FGLUCTX20L01,CAN-20LT CALTEX SQ D/O/GREEN
,,FGLUCTX20L03,CAN-20LT CALTEX SQ BLUE
,,FGLUCTX20L05,CAN-20LT CALTEX SQ DELO BLUE
,,FGLUIOC20L01,IOC CAN 20 L - SILVER
,,SFLUDLS20L01,CAN-20LTˇSQ CLEAR
.,,,
CAN20LCTXSQ1,CAN-20LT CALTEX SQ 2015,FGLUCTX20L13,CAN-20LT CALTEX D/O/G 2015
,,FGLUCTX20L14,CAN-20LT CALTEX DELO BLUE 2015
,,FGLUCTX20L15,CAN-20LT CALTEX SQ BLUE 2015
,,FGLUCTX20L16,CAN-20LT CALTEX GRAY 2015
.,,,
CAN20LTLD150,CAN LID 20LT WITH PP RING 2015,SFLU20LR0003,CAN LID 20LT RED WITH PP RING 2015
.,,,
CAN20LTLD160,CAN LID 20LT/25LT 2016 (2 CV),SFLU20LLID03,CAN LID 20LT/25LT 2016 (2 CV) (NARATHA) - GREEN
,,SFLU20LLID05,CAN LID 20LT/25LT 2016 (2 CV) - (MARINA) GREEN
,,SFLU20LLID08,CAN LID 20LT/25LT 2016 (2 CV) ? RED (FORTUNE)
.,,,
CAN20LTSQR00,CAN 20L SQUARE 2016,SFLU20LBOT01,CAN 20L SQUARE 2016 (NARATHA) - GREEN
,,SFLU20LBOT02,CAN 20L SQUARE 2016 - ORANGE
,,SFLU20LBOT03,CAN 20L SQUARE 2016 - (MARINA) ORANGE
,,SFLU20LBOT04,CAN 20L SQUARE 2016 - WHITE
,,SFLU20LBOT05,CAN 20L SQUARE 2016 - (PYRAMID WILMAR) YELLOW
,,SFLU20LBOT06,CAN 20L SQUARE 2016 - CLEAR
.,,,
CAN25LCTXSQ0,CAN 25LT SQURE CALTEX,FGLUCTX25L04,CAN 25LT SQ CALTEX BLUE PP NEC
.,,,
CAN25LJRYSQ0,CAN 25LT JERRY SQURE,FGLUCTX25L01,CAN 25LT JERRY SQ LIGHT GREEN
,,FGLUCTX25L06,CAN 25LT SQ JERRY LIGHT BLUE W
,,FGLUCTX25L07,CAN 25LT JERRY SQ WHITE
,,FGLUCTX25L08,CAN 25LT SQ JERRY ORANGE
,,FGLUCTX25L09,CAN 25LT SQ- LIGHT BLUE
,,FGLUCTX25L10,CAN 25LT SQ JERRY BLUE
.,,,
CAN25LTRND00,CAN 25L ROUND 2016,FGCANRUND001,CAN 20L ROUND 2016 - 930 - YELLOW
,,FGCANRUND004,CAN 20L ROUND 2016 - 950 - BLACK
,,FGCANRUND006,CAN 20L ROUND 2016 - 1000 - D/O/G
,,FGLUIOC20L03,IOC CAN 20L ROUND 2016 - 950 - SILVER
,,SFLU25LRD001,CAN 25L ROUND 2016 - BLUE
,,SFLU25LRD002,CAN 25L ROUND 2016 - ORANGE
.,,,
CAN25LTSQR00,CAN 25L SQUARE 2016,FGLU25LSQ003,CAN 25L SQUARE 2016 - 1050G - CLEAR
,,SFLU25LSQB01,CAN 25L SQUARE 2016 - WHITE
,,SFLU25LSQB02,CAN 25L SQUARE 2016 - YELLOW
.,,,
CHRAL2011000,CHAIR ARMLESS-2011,FGCHRARML025,CHAIR ARMLESS-2011-2 -RS/WOOD
,,FGCHRARML027,CHAIR ARMLESS-2011-2 -WD/FINI
,,FGCHRARML028,CHAIR ARMLESS-2011-2 -WHITE
,,FGCHRARML029,CHAIRˇARMLESS - BLACK
,,FGCHRARML030,CHAIRˇARMLESS - NEW ROSE WOOD
,,FGCHRARML042,CHAIR ARMLESS-2011-2 - PHX 01 - RS/WOOD
,,FGCHRARML043,CHAIR ARMLESS-2011-2 - PHX 01 - WD/FINI
,,FGCHRALGP009,CHAIR ARMLESS 2011-2011-2PHX 01 - N/WF
,,FGCHRARML032,CHAIR ARMLESS 2011-2 - PHX 01 - N/RW
.,,,
